SLOC,LCOM,DIT,CBO,NOC,RFC,WMC,change-proneness
288,89,1,15,0,12,12,TRUE
212,42,1,2,0,14,14,TRUE
189,77,1,1,0,25,25,FALSE
157,45,1,1,0,7,7,FALSE
142,0,1,2,0,8,8,TRUE
138,62,1,15,0,3,3,TRUE
90,70,1,3,0,17,17,TRUE
89,69,1,7,0,11,11,FALSE
82,62,1,5,0,4,4,TRUE
75,64,1,6,0,4,4,TRUE
74,0,1,0,0,5,5,FALSE
73,62,1,5,0,4,4,TRUE
72,50,1,3,0,11,11,FALSE
71,16,1,6,0,2,2,FALSE
69,0,2,0,0,8,8,FALSE
65,47,1,8,0,3,3,FALSE
63,50,1,2,0,8,8,FALSE
61,40,1,0,0,11,11,FALSE
55,56,1,0,0,13,13,FALSE
54,44,1,1,0,6,6,FALSE
52,0,1,4,0,6,6,FALSE
52,25,1,6,0,2,2,FALSE
52,45,1,1,0,11,11,FALSE
52,19,1,4,0,2,2,TRUE
51,70,1,0,0,14,14,TRUE
51,31,1,0,0,11,11,FALSE
44,61,1,0,0,11,11,TRUE
41,19,1,4,0,2,2,TRUE
39,50,1,0,0,7,7,TRUE
39,50,1,4,0,10,10,FALSE
36,27,1,5,0,2,2,FALSE
36,70,1,2,0,5,5,FALSE
34,25,1,0,0,4,4,FALSE
33,16,1,4,0,2,2,FALSE
27,44,1,0,0,6,6,FALSE
26,21,1,6,0,2,2,FALSE
26,83,1,0,0,7,7,TRUE
26,0,1,2,0,8,8,FALSE
25,33,1,7,0,3,3,TRUE
19,25,1,4,0,2,2,TRUE
18,33,1,7,0,3,3,TRUE
17,33,1,0,0,3,3,FALSE
15,16,1,3,0,2,2,TRUE
14,0,2,0,0,2,2,FALSE
14,0,2,0,0,2,2,FALSE
14,0,2,1,2,15,12,FALSE
13,0,1,0,0,2,2,FALSE
13,25,1,3,0,2,2,TRUE
11,0,0,0,7,9,9,FALSE
9,0,1,1,0,0,0,FALSE
8,100,0,0,2,3,3,FALSE
7,0,0,1,3,5,5,FALSE
5,0,0,0,2,3,3,FALSE
4,0,3,0,0,1,0,FALSE
4,0,0,0,7,1,1,FALSE
3,0,3,1,0,2,1,FALSE
3,0,0,0,3,1,1,FALSE
3,0,0,0,6,1,1,TRUE
3,0,0,1,2,1,1,TRUE
3,0,2,0,5,1,1,FALSE
